query_id,review_id,relevance,status,notes,reviewed_at
topic_waiting_en,cb83b0fb0b61a70a371b5bf7d0927898,2,verified,,2026-08-17T12:10:25.611354+00:00
topic_waiting_en,48413b4c984b4c326144e144084af496,2,verified,,2026-08-17T12:10:30.426694+00:00
topic_waiting_en,757996992ecd281e88aead36ac042873,2,verified,,2026-08-17T12:10:36.287778+00:00
topic_waiting_en,36cf8fb81c9e87c00ba9e05cfb744de7,2,verified,,2026-08-17T12:10:40.963468+00:00
topic_waiting_en,ad8f0ea3049d2b50010986657bb166e5,2,verified,,2026-08-17T12:10:47.330335+00:00
topic_waiting_en,a84cc8df3b183c6e23e6a7a49dd9fa27,2,verified,,2026-08-17T12:10:50.789433+00:00
topic_waiting_en,50df8cbf73067be82b6c555362c20d77,2,verified,,2026-08-17T12:10:53.553290+00:00
topic_waiting_en,103ffd4c110ecf8c92a8b48d457e4301,2,verified,,2026-08-17T12:10:56.190610+00:00
topic_waiting_en,4c9f429d6f9d5f95a326a51784c8fccb,2,verified,,2026-08-17T12:11:01.255342+00:00
topic_waiting_en,2b0b18ef392d815efb02cfa6ead40bd7,2,verified,,2026-08-17T12:11:06.511131+00:00
topic_waiting_en,628246494,0,verified,,2026-08-17T12:11:14.828086+00:00
topic_waiting_en,f672ae3a832af8528f5301abbdd1c800,0,verified,,2026-08-17T12:11:33.090372+00:00
topic_waiting_en,375ef1c9ef4df840f49e7286db7c9dde,1,verified,,2026-08-17T12:12:04.499813+00:00
topic_waiting_en,14e8f4509fd1985a46bcdf4e5578de9b,0,verified,,2026-08-17T12:12:12.966911+00:00
topic_waiting_en,3f938d419bf535360012e91660deec2a,0,verified,,2026-08-17T12:12:15.427781+00:00
topic_crowding_zh,3647e1f1599197835c35ca5210e73a1d,2,verified,,2026-08-17T12:12:26.678645+00:00
topic_crowding_zh,84f1acdf647258f0e51fd33b49e19a8c,2,verified,,2026-08-17T12:12:30.277044+00:00
topic_crowding_zh,ab4e49aaf91afe7752194443c7a83cad,1,verified,,2026-08-17T12:12:39.744127+00:00
topic_crowding_zh,4c9f429d6f9d5f95a326a51784c8fccb,1,verified,,2026-08-17T12:12:46.358803+00:00
topic_crowding_zh,8967c9a702cd86e11715f3287e11d000,0,verified,,2026-08-17T12:12:50.745102+00:00
